Currency,Chinese Yuan,Euro,Japanese Yen,U.K. Pound Sterling,U.S. Dollar,Algerian Dinar,Australian Dollar,Bahrain Dinar,Botswana Pula,Brazilian Real,Brunei Dollar,Canadian Dollar,Chilean Peso,Colombian Peso,Czech Koruna,Danish Krone,Hungarian Forint,Icelandic Krona,Indian Rupee,Indonesian Rupiah,Iranian Rial,Israeli New Sheqel,Kazakhstani Tenge,Korean Won,Kuwaiti Dinar,Libyan Dinar,Malaysian Ringgit,Mauritian Rupee,Mexican Peso,Nepalese Rupee,New Zealand Dollar,Norwegian Krone,Rial Omani,Pakistani Rupee,Nuevo Sol,Philippine Peso,Polish Zloty,Qatar Riyal,Russian Ruble,Saudi Arabian Riyal,Singapore Dollar,South African Rand,Sri Lanka Rupee,Swedish Krona,Swiss Franc,Thai Baht,Trinidad And Tobago Dollar,Tunisian Dinar,U.A.E. Dirham,Peso Uruguayo,Bolivar Fuerte
"July 01, 2016",9.29446,1.25367,143.645,1.05054,1.39596,NA,1.87126,0.524882,NA,4.47993,1.87785,NA,923.25,"4,074.83",33.9707,9.3247,397.682,171.326,94.1451,"18,387.60",NA,5.36607,471.892,"1,608.98",0.421232,1.9324,5.57407,49.5771,25.5586,150.82,1.95842,11.656,0.536748,NA,NA,65.6198,5.52074,5.0813,89.3647,5.23486,1.87785,20.3528,202.763,11.8246,1.36009,NA,9.28428,3.06035,5.12668,NA,13.9247
"July 05, 2016",9.31515,1.25322,142.715,1.06143,1.39684,154.063,1.85825,0.525213,15.2162,4.53611,1.88197,1.80877,920.887,"4,070.93",NA,9.32392,397.738,171.043,94.1513,NA,"43,008.70",5.40438,470.834,"1,603.72",NA,1.9324,5.58806,49.5845,26.1958,150.244,1.93952,11.6797,0.537086,NA,4.59002,65.4185,5.5822,5.0845,89.7714,5.23815,1.88197,20.624,202.886,11.7627,1.35689,49.0655,9.26724,NA,5.12992,42.9026,13.9335
"July 06, 2016",9.31697,1.25834,140.54,1.073,1.39286,154.094,1.87313,0.523717,15.2392,4.58224,NA,1.81141,921.082,"4,132.44",NA,9.36347,398.956,171.336,NA,NA,NA,5.4252,NA,"1,605.97",NA,1.9324,NA,NA,26.2082,150.387,1.96371,11.7677,0.535556,NA,4.56859,NA,5.60277,5.07002,90.0212,5.22321,NA,20.7232,NA,11.8805,1.36208,49.0692,9.25643,NA,5.11527,42.6425,13.8938
"July 07, 2016",9.31315,1.25737,140.64,1.06911,1.39316,153.957,1.85236,0.523829,15.143,4.63032,1.88105,1.80888,925.772,"4,183.94",34.0168,9.3562,397.886,170.997,94.0345,NA,NA,5.40269,469.859,"1,624.15",NA,1.9324,NA,49.5297,26.276,150.378,1.95093,11.7919,0.53567,NA,4.57235,65.3394,5.57765,5.0711,89.2323,5.22436,1.88105,20.4288,202.351,11.9192,1.36098,49.0295,NA,NA,5.11637,42.4176,13.8968
"July 08, 2016",9.3135,1.25797,140.51,1.07261,1.39257,154.062,1.85974,0.523607,15.1202,4.64868,1.87914,1.82051,924.753,"4,158.90",34.0079,9.36084,396.005,171.147,93.9408,NA,NA,5.40596,471.329,"1,610.65",NA,1.9324,5.62946,49.4496,25.9006,150.175,1.91524,11.8161,0.535444,NA,4.56346,65.5068,5.57041,5.06896,89.471,5.22215,1.87914,20.6063,202.271,11.9327,1.36472,49.0408,9.26432,NA,5.11423,42.206,13.8909
"July 11, 2016",9.29403,1.25769,139.962,1.0705,1.38962,153.742,1.83836,0.522496,15.0067,4.58045,1.87001,1.82415,919.236,"4,103.04",33.9872,9.35366,395.416,170.895,93.3027,"18,220.70","42,869.70",5.3959,NA,"1,610.85",0.419387,1.9324,5.53833,49.3686,25.6519,149.787,1.90724,11.83,0.534308,145.722,NA,65.4442,5.56681,5.05822,89.2172,5.21107,1.87001,20.0773,201.842,11.9439,1.36641,48.795,9.23745,3.07068,5.10337,NA,13.8614
"July 12, 2016",9.31021,1.2549,143.369,1.05762,1.39194,153.869,1.83439,0.523368,14.951,4.59688,1.87911,1.81174,915.667,"4,078.10",NA,9.33376,392.457,170.47,93.4641,"18,305.30","42,939.80",5.39235,NA,"1,597.66",0.420364,1.9324,NA,49.4508,25.4732,149.591,1.92071,11.7332,0.5352,145.919,NA,65.6478,5.54087,5.06665,NA,5.21975,1.87911,19.9238,202.179,11.8614,1.36674,48.9182,9.28617,3.07901,5.11187,NA,13.8845
"July 13, 2016",9.3135,1.25716,145.178,1.0468,1.39193,153.855,1.83101,0.523366,14.9509,4.55774,1.87604,1.80464,915.642,"4,053.18",33.984,9.3506,394.904,170.135,93.5445,"18,227.30","42,962.00",5.38816,470.961,"1,599.74",NA,1.9324,5.54893,49.4606,25.6028,149.535,1.9162,11.7099,0.535197,145.952,4.56275,65.9692,5.54115,5.06663,88.8794,5.21972,1.87604,19.9273,202.175,11.9234,1.37063,48.9958,9.29005,3.06884,5.11187,42.1644,13.8845
"July 14, 2016",9.30432,1.24695,144.895,1.05236,1.39122,153.763,1.82791,0.523097,14.9112,4.57572,1.87411,1.79676,915.701,"4,085.35",33.7162,9.27455,392.824,169.882,93.0917,"18,208.30","42,938.50",5.35897,471.554,"1,593.92",0.419592,1.9324,5.50852,49.4274,25.4678,149.445,1.90996,11.6274,0.534922,NA,NA,65.7324,5.5205,5.06403,88.4502,5.21708,1.87411,19.8519,202.074,11.8098,1.36326,48.8873,9.2999,NA,5.10926,NA,13.8774
"July 15, 2016",9.31532,1.25263,147.268,1.04242,1.39392,NA,1.82786,0.524115,14.9723,4.50306,1.87246,1.80862,907.334,"4,074.53",33.85,9.31645,393.811,168.874,NA,"18,240.90",NA,5.35822,471.872,"1,591.58",0.420407,1.9324,5.51785,NA,25.7764,149.192,1.94927,11.6723,0.535963,146.154,4.56648,65.6526,5.51965,5.07388,88.0537,5.2272,1.87246,20.004,202.467,11.8409,1.36451,48.7607,9.31437,NA,5.11917,42.0267,13.9044
"July 18, 2016",9.30354,1.25652,NA,1.04952,1.38883,153.648,1.82741,0.522201,NA,4.53453,1.8734,1.80326,903.546,"4,060.19",33.9514,9.34684,396.123,169.479,93.1923,"18,210.40","42,891.20",5.3609,470.648,"1,573.13",0.419775,1.9324,5.52547,49.2611,25.6766,149.036,1.95886,11.7644,0.534005,145.626,4.54843,65.1042,5.53492,5.05536,87.6562,5.20812,1.8734,19.8556,201.728,NA,1.36647,NA,9.28514,3.06822,5.10048,NA,13.8536
